"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4IlC0DeAe5vgKuvI667w4u","Guitar Dreams and Nature Sounds Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","2","279289","https://p.scdn.co/mp3-preview/5a2af4a3517141a51198531fc013755294580b3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","ITO101064120","spotify:user:","2012-05-11T19:16:36Z"
"spotify:track:1GMXnZrFpxG2aI3GbrD99f","Easy Sleep Music with Jazz Guitar and Tropical Thunderstorm Nature Sound","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","1","186967","https://p.scdn.co/mp3-preview/f123d3c99f97ce0c2a07d9913e2ce51515e083ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ITO101064119","spotify:user:","2012-05-11T19:21:34Z"
"spotify:track:4IlC0DeAe5vgKuvI667w4u","Guitar Dreams and Nature Sounds Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","2","279289","https://p.scdn.co/mp3-preview/5a2af4a3517141a51198531fc013755294580b3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","ITO101064120","spotify:user:","2012-05-11T19:21:34Z"
"spotify:track:5sBUDxr65EIK1bJN1Q8EQw","Meditation Music and Natural White Noise","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","3","236286","https://p.scdn.co/mp3-preview/95511aa9cced404ee6b5b8afafdaaad7a01b87d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ITO101064121","spotify:user:","2012-05-11T19:21:34Z"
"spotify:track:41e3v5aMMTNQz82Clm6ZwZ","Tranquility Sleep Music and Sounds of Nature","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","4","255105","https://p.scdn.co/mp3-preview/6a5fe4e59de19e94df7ed1df4394d26c0ef6652f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ITO101064122","spotify:user:","2012-05-11T19:21:34Z"
"spotify:track:1D0QphpKwnvUG0SxQK02Vh","Kundalini Yoga Spirit - Ocean Sounds and Guitar Music to Soothe the Mind and the Soul","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","5","248224","https://p.scdn.co/mp3-preview/63ac51f7ef17c9858bd4ec4f534d6c384beafe7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ITO101064123","spotify:user:","2012-05-11T19:21:34Z"
"spotify:track:2P5Y85lZ0CjwEIspxeoncT","Calming Water and Gentel River Stream Electric Guitar Music","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","6","246517","https://p.scdn.co/mp3-preview/b7cf2c462d8bbf9e1102f5e0f2f987e1381db3f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","ITO101064124","spotify:user:","2012-05-11T19:21:34Z"
"spotify:track:2ALgsimz8ShqQ8XKTF6x16","Relaxing Guitar Music and Quiet Crickets on Shoreline","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","7","238120","https://p.scdn.co/mp3-preview/7a5a23d35da4edf0132e62a1112d8ec827d566d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","ITO101064125","spotify:user:","2012-05-11T19:21:34Z"
"spotify:track:0yq3t9f1ZPgT0ptBr7YttP","On the Beach - Smooth Jazz Guitar Sound and Ocean Waves Nature Sounds for Relaxation Meditation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","8","67709","https://p.scdn.co/mp3-preview/8b09c393687a2afcb841a1a031d6362795ab560d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","ITO101064126","spotify:user:","2012-05-11T19:21:34Z"
"spotify:track:4exzfAO0y0SJoEGT5Oq1ts","Calm Spirit - Meditative Guitar Sounds with Gentle Mountain Creek Sound of Nature","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:0KZa9hhXalGhdSS0HMrCMN","Nature Sounds with Relaxing Guitar Music - Music for Relaxation Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing, Baby Sleep and Yoga","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2734ed4cebcf383245682703975","1","9","279652","https://p.scdn.co/mp3-preview/95f69f52e09950b8b74d2fef859bde913fb0319b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","ITO101064127","spotify:user:","2012-05-11T19:21:34Z"
