"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4TdBRHLygS4uPgWEqHWE1T","Dreamer with Gentle Ocean Waves and Soothing Sea Sound for Sleeping Baby","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","1","299247","https://p.scdn.co/mp3-preview/dded5a799a614704ddd1d1774735e9f46dd7913b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","ITO101061205","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:1PeQO6r56BO2JF4rByf6HS","Stars in the Sky with Crickets and Forest Stream on a Summer Night","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","2","312726","https://p.scdn.co/mp3-preview/f883c6e952a8fc4505179c494bc4569c8d9c3690?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","ITO101061206","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:0lTOT4AdJrt9IC6lFzDQTy","Pillows with River Stream and Free Birds Singing. Mp3 Song to Help Your Baby Sleep","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","3","303252","https://p.scdn.co/mp3-preview/55670ff4ad7749fde0d9286aac953ac01e4c067a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","ITO101061207","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:6NBv8LtLcp3wrPOqvB50Oa","Moon and Sun with Relaxing Piano Music and Relaxing Sea Waves","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","4","396000","https://p.scdn.co/mp3-preview/da53f30aeed08913343bb8f82b469433e8512a5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","ITO101061208","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:16wKn4lF8CT7mx0haeTti1","Above the Clouds with Gentle Rainforest Stream, Sotthing Bubbling Brooke and Piano Music for Deep Sleep","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","5","204242","https://p.scdn.co/mp3-preview/54677d5f118a2a6173ff8dcd4be85b28fe8e8d8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","ITO101061209","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:5xGILKYNCGLLa8kRqJjwSt","My Sunshine - Rainforest Music for Little People","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","6","405327","https://p.scdn.co/mp3-preview/9cd2c932e0ce9b9fa7c87c7bfdffd08a3512b49e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","ITO101061210","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:3C8xW9FZjED3czCYakxs9m","Fairytales with Gentle Rainforest Birds Singing for Baby Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","7","159567","https://p.scdn.co/mp3-preview/85ede52d9969893a33d7c329a009025659f3f1ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ITO101061211","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:5ugEP7Eqe4ydhUYfykTvoY","Brothers and Sisters with Gentle Sea Waves Sound. Pure Nature Sounds for Sound Therapy","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","8","358330","https://p.scdn.co/mp3-preview/36a455ff43db49b12178682ad597b7b6371ace4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ITO101061212","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:0H7STtAhpb2NA7aoxdrcBy","Carol of the Bells. Classical Music with Nature Sounds for Pure Dreaming and Golden Dreams","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","9","126316","https://p.scdn.co/mp3-preview/0b71c9c0d8f3a6aaf034e7b7da0e4491a4305d58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","ITO101061213","spotify:user:","2012-05-26T01:23:58Z"
"spotify:track:020LbYKoIo5IHRRFi78RAI","Imagination with Ocean Waves for Insomnia","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","spotify:album:4yl8pBieLEoqXMkkPf3Zlg","Bath Time - Relaxing Music and Nature Sounds for Pure Relaxation","spotify:artist:7t9F2SIhlsCvEZPAAsnBpY","Sounds of Nature White Noise for Mindfulness Meditation and Relaxation","2011-02-16","https://i.scdn.co/image/ab67616d0000b2735c1b719fc80e292cec6adc60","1","10","438857","https://p.scdn.co/mp3-preview/4a97ebe5367556b54b259e9e846021c1ac12e338?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","ITO101061214","spotify:user:","2012-05-26T01:23:58Z"
